Genoma 150, Vitórias X: 66, Vitórias O: 69, Draws: 15
Genoma 14359, Vitórias X: 48, Vitórias O: 29, Draws: 23
Genoma 14456, Vitórias X: 60, Vitórias O: 31, Draws: 9
Genoma 14553, Vitórias X: 59, Vitórias O: 35, Draws: 6
Genoma 14650, Vitórias X: 42, Vitórias O: 43, Draws: 15
Genoma 14747, Vitórias X: 57, Vitórias O: 32, Draws: 11
Genoma 14844, Vitórias X: 56, Vitórias O: 33, Draws: 11
Genoma 14941, Vitórias X: 52, Vitórias O: 31, Draws: 17
Genoma 15038, Vitórias X: 51, Vitórias O: 38, Draws: 11
Genoma 15135, Vitórias X: 56, Vitórias O: 33, Draws: 11
Genoma 15232, Vitórias X: 56, Vitórias O: 30, Draws: 14
Genoma 15329, Vitórias X: 54, Vitórias O: 36, Draws: 10
Genoma 15426, Vitórias X: 50, Vitórias O: 36, Draws: 14
Genoma 15523, Vitórias X: 67, Vitórias O: 23, Draws: 10
Genoma 15620, Vitórias X: 50, Vitórias O: 33, Draws: 17
Genoma 15717, Vitórias X: 56, Vitórias O: 30, Draws: 14
Genoma 15814, Vitórias X: 55, Vitórias O: 28, Draws: 17
Genoma 15911, Vitórias X: 49, Vitórias O: 34, Draws: 17
Genoma 16008, Vitórias X: 58, Vitórias O: 33, Draws: 9
Genoma 16105, Vitórias X: 51, Vitórias O: 38, Draws: 11
Genoma 16202, Vitórias X: 45, Vitórias O: 45, Draws: 10
Genoma 16299, Vitórias X: 49, Vitórias O: 38, Draws: 13
Genoma 16396, Vitórias X: 53, Vitórias O: 38, Draws: 9
Genoma 16493, Vitórias X: 52, Vitórias O: 40, Draws: 8
Genoma 16590, Vitórias X: 56, Vitórias O: 29, Draws: 15
Genoma 16687, Vitórias X: 54, Vitórias O: 35, Draws: 11
Genoma 16784, Vitórias X: 59, Vitórias O: 27, Draws: 14
Genoma 16881, Vitórias X: 55, Vitórias O: 33, Draws: 12
Genoma 16978, Vitórias X: 53, Vitórias O: 36, Draws: 11
Genoma 17075, Vitórias X: 51, Vitórias O: 34, Draws: 15
Genoma 17172, Vitórias X: 60, Vitórias O: 32, Draws: 8
Genoma 17269, Vitórias X: 53, Vitórias O: 33, Draws: 14
Genoma 17366, Vitórias X: 51, Vitórias O: 43, Draws: 6
Genoma 17463, Vitórias X: 59, Vitórias O: 28, Draws: 13
Genoma 17560, Vitórias X: 45, Vitórias O: 42, Draws: 13
Genoma 17657, Vitórias X: 56, Vitórias O: 36, Draws: 8
Genoma 17754, Vitórias X: 51, Vitórias O: 43, Draws: 6
Genoma 17851, Vitórias X: 50, Vitórias O: 36, Draws: 14
Genoma 17948, Vitórias X: 61, Vitórias O: 30, Draws: 9
Genoma 18045, Vitórias X: 58, Vitórias O: 38, Draws: 4
Genoma 18142, Vitórias X: 51, Vitórias O: 33, Draws: 16
Genoma 18239, Vitórias X: 59, Vitórias O: 29, Draws: 12
Genoma 18336, Vitórias X: 54, Vitórias O: 38, Draws: 8
Genoma 18433, Vitórias X: 56, Vitórias O: 36, Draws: 8
Genoma 18530, Vitórias X: 50, Vitórias O: 35, Draws: 15
Genoma 18627, Vitórias X: 50, Vitórias O: 33, Draws: 17
Genoma 18724, Vitórias X: 53, Vitórias O: 30, Draws: 17
Genoma 18821, Vitórias X: 47, Vitórias O: 38, Draws: 15
Genoma 18918, Vitórias X: 57, Vitórias O: 32, Draws: 11
Genoma 19015, Vitórias X: 50, Vitórias O: 41, Draws: 9
Genoma 19112, Vitórias X: 55, Vitórias O: 33, Draws: 12
Genoma 19209, Vitórias X: 53, Vitórias O: 35, Draws: 12
Genoma 19306, Vitórias X: 54, Vitórias O: 37, Draws: 9
Genoma 19403, Vitórias X: 56, Vitórias O: 38, Draws: 6
Genoma 19500, Vitórias X: 63, Vitórias O: 27, Draws: 10
Genoma 19597, Vitórias X: 61, Vitórias O: 28, Draws: 11
Genoma 19694, Vitórias X: 56, Vitórias O: 32, Draws: 12
Genoma 19791, Vitórias X: 55, Vitórias O: 32, Draws: 13
Genoma 19888, Vitórias X: 45, Vitórias O: 42, Draws: 13
Genoma 19985, Vitórias X: 50, Vitórias O: 33, Draws: 17
Genoma 20082, Vitórias X: 54, Vitórias O: 30, Draws: 16
Genoma 20179, Vitórias X: 56, Vitórias O: 34, Draws: 10
Genoma 20276, Vitórias X: 52, Vitórias O: 35, Draws: 13
Genoma 20373, Vitórias X: 64, Vitórias O: 25, Draws: 11
Genoma 20470, Vitórias X: 49, Vitórias O: 36, Draws: 15
Genoma 20567, Vitórias X: 54, Vitórias O: 33, Draws: 13
Genoma 20664, Vitórias X: 54, Vitórias O: 34, Draws: 12
Genoma 20761, Vitórias X: 56, Vitórias O: 33, Draws: 11
Genoma 20858, Vitórias X: 58, Vitórias O: 28, Draws: 14
Genoma 20955, Vitórias X: 65, Vitórias O: 28, Draws: 7
Genoma 21052, Vitórias X: 51, Vitórias O: 40, Draws: 9
Genoma 21149, Vitórias X: 55, Vitórias O: 34, Draws: 11
Genoma 21246, Vitórias X: 60, Vitórias O: 29, Draws: 11
Genoma 21343, Vitórias X: 60, Vitórias O: 29, Draws: 11
Genoma 21440, Vitórias X: 60, Vitórias O: 25, Draws: 15
Genoma 21537, Vitórias X: 57, Vitórias O: 34, Draws: 9
Genoma 21634, Vitórias X: 47, Vitórias O: 41, Draws: 12
Genoma 21731, Vitórias X: 64, Vitórias O: 31, Draws: 5
Genoma 21828, Vitórias X: 57, Vitórias O: 31, Draws: 12
Genoma 21925, Vitórias X: 46, Vitórias O: 42, Draws: 12
Genoma 22022, Vitórias X: 57, Vitórias O: 33, Draws: 10
Genoma 22119, Vitórias X: 54, Vitórias O: 37, Draws: 9
Genoma 22216, Vitórias X: 52, Vitórias O: 39, Draws: 9
Genoma 22313, Vitórias X: 63, Vitórias O: 31, Draws: 6
Genoma 22410, Vitórias X: 52, Vitórias O: 40, Draws: 8
Genoma 22507, Vitórias X: 54, Vitórias O: 30, Draws: 16
Genoma 22604, Vitórias X: 54, Vitórias O: 37, Draws: 9
Genoma 22701, Vitórias X: 53, Vitórias O: 36, Draws: 11
Genoma 22798, Vitórias X: 54, Vitórias O: 33, Draws: 13
Genoma 22895, Vitórias X: 62, Vitórias O: 26, Draws: 12
Genoma 22992, Vitórias X: 53, Vitórias O: 30, Draws: 17
Genoma 23089, Vitórias X: 52, Vitórias O: 37, Draws: 11
Genoma 23186, Vitórias X: 58, Vitórias O: 33, Draws: 9
Genoma 23283, Vitórias X: 50, Vitórias O: 36, Draws: 14
Genoma 23380, Vitórias X: 57, Vitórias O: 33, Draws: 10
Genoma 23477, Vitórias X: 62, Vitórias O: 29, Draws: 9
Genoma 23574, Vitórias X: 56, Vitórias O: 37, Draws: 7
Genoma 23671, Vitórias X: 50, Vitórias O: 32, Draws: 18
Genoma 23768, Vitórias X: 49, Vitórias O: 37, Draws: 14
Genoma 23865, Vitórias X: 47, Vitórias O: 40, Draws: 13
Genoma 23962, Vitórias X: 60, Vitórias O: 34, Draws: 6
Genoma 24059, Vitórias X: 49, Vitórias O: 40, Draws: 11
Genoma 24156, Vitórias X: 58, Vitórias O: 31, Draws: 11
Genoma 24253, Vitórias X: 50, Vitórias O: 35, Draws: 15
Genoma 24350, Vitórias X: 47, Vitórias O: 41, Draws: 12
Genoma 24447, Vitórias X: 54, Vitórias O: 36, Draws: 10
Genoma 24544, Vitórias X: 46, Vitórias O: 41, Draws: 13
Genoma 24641, Vitórias X: 54, Vitórias O: 31, Draws: 15
Genoma 24738, Vitórias X: 52, Vitórias O: 34, Draws: 14
Genoma 24835, Vitórias X: 49, Vitórias O: 38, Draws: 13
Genoma 24932, Vitórias X: 57, Vitórias O: 32, Draws: 11
Genoma 25029, Vitórias X: 52, Vitórias O: 36, Draws: 12
Genoma 25126, Vitórias X: 61, Vitórias O: 29, Draws: 10
Genoma 25223, Vitórias X: 53, Vitórias O: 38, Draws: 9
Genoma 25320, Vitórias X: 65, Vitórias O: 23, Draws: 12
Genoma 25417, Vitórias X: 57, Vitórias O: 36, Draws: 7
Genoma 25514, Vitórias X: 55, Vitórias O: 34, Draws: 11
Genoma 25611, Vitórias X: 49, Vitórias O: 39, Draws: 12
Genoma 25708, Vitórias X: 44, Vitórias O: 45, Draws: 11
Genoma 25805, Vitórias X: 61, Vitórias O: 32, Draws: 7
Genoma 25902, Vitórias X: 55, Vitórias O: 30, Draws: 15
Genoma 25999, Vitórias X: 63, Vitórias O: 27, Draws: 10
Genoma 26096, Vitórias X: 55, Vitórias O: 34, Draws: 11
Genoma 26193, Vitórias X: 51, Vitórias O: 33, Draws: 16
Genoma 26290, Vitórias X: 45, Vitórias O: 32, Draws: 23
Genoma 26387, Vitórias X: 61, Vitórias O: 28, Draws: 11
Genoma 26484, Vitórias X: 56, Vitórias O: 38, Draws: 6
Genoma 26581, Vitórias X: 53, Vitórias O: 34, Draws: 13
Genoma 26678, Vitórias X: 52, Vitórias O: 36, Draws: 12
Genoma 26775, Vitórias X: 49, Vitórias O: 37, Draws: 14
Genoma 26872, Vitórias X: 56, Vitórias O: 32, Draws: 12
Genoma 26969, Vitórias X: 52, Vitórias O: 36, Draws: 12
Genoma 27066, Vitórias X: 51, Vitórias O: 42, Draws: 7
Genoma 27163, Vitórias X: 54, Vitórias O: 39, Draws: 7
Genoma 27260, Vitórias X: 52, Vitórias O: 36, Draws: 12
Genoma 27357, Vitórias X: 52, Vitórias O: 41, Draws: 7
Genoma 27454, Vitórias X: 44, Vitórias O: 42, Draws: 14
Genoma 27551, Vitórias X: 57, Vitórias O: 31, Draws: 12
Genoma 27648, Vitórias X: 55, Vitórias O: 35, Draws: 10
Genoma 27745, Vitórias X: 57, Vitórias O: 35, Draws: 8
Genoma 27842, Vitórias X: 56, Vitórias O: 35, Draws: 9
Genoma 27939, Vitórias X: 55, Vitórias O: 31, Draws: 14
Genoma 28036, Vitórias X: 52, Vitórias O: 33, Draws: 15
Genoma 28133, Vitórias X: 56, Vitórias O: 33, Draws: 11
Genoma 28230, Vitórias X: 54, Vitórias O: 35, Draws: 11
Genoma 28327, Vitórias X: 55, Vitórias O: 31, Draws: 14
Genoma 28424, Vitórias X: 47, Vitórias O: 39, Draws: 14
Genoma 28521, Vitórias X: 58, Vitórias O: 30, Draws: 12
Genoma 28618, Vitórias X: 54, Vitórias O: 41, Draws: 5
Genoma 28715, Vitórias X: 41, Vitórias O: 51, Draws: 8
Genoma 28812, Vitórias X: 50, Vitórias O: 37, Draws: 13
Genoma 28909, Vitórias X: 50, Vitórias O: 37, Draws: 13
Genoma 29006, Vitórias X: 53, Vitórias O: 34, Draws: 13
Genoma 29103, Vitórias X: 56, Vitórias O: 34, Draws: 10
Genoma 29200, Vitórias X: 34, Vitórias O: 58, Draws: 8
Genoma 29297, Vitórias X: 31, Vitórias O: 62, Draws: 7
Genoma 29394, Vitórias X: 27, Vitórias O: 63, Draws: 10
Genoma 29491, Vitórias X: 41, Vitórias O: 46, Draws: 13
Genoma 29588, Vitórias X: 35, Vitórias O: 54, Draws: 11
Genoma 29685, Vitórias X: 40, Vitórias O: 55, Draws: 5
Genoma 29782, Vitórias X: 43, Vitórias O: 51, Draws: 6
Genoma 29879, Vitórias X: 32, Vitórias O: 62, Draws: 6
Genoma 29976, Vitórias X: 39, Vitórias O: 57, Draws: 4
Genoma 30073, Vitórias X: 42, Vitórias O: 49, Draws: 9
Genoma 30170, Vitórias X: 35, Vitórias O: 56, Draws: 9
Genoma 30267, Vitórias X: 36, Vitórias O: 60, Draws: 4
Genoma 30364, Vitórias X: 45, Vitórias O: 43, Draws: 12
Genoma 30461, Vitórias X: 36, Vitórias O: 57, Draws: 7
Genoma 30558, Vitórias X: 37, Vitórias O: 52, Draws: 11
Genoma 30655, Vitórias X: 40, Vitórias O: 49, Draws: 11
Genoma 30752, Vitórias X: 44, Vitórias O: 54, Draws: 2
Genoma 30849, Vitórias X: 34, Vitórias O: 59, Draws: 7
Genoma 30946, Vitórias X: 45, Vitórias O: 48, Draws: 7
Genoma 31043, Vitórias X: 39, Vitórias O: 53, Draws: 8
Genoma 31140, Vitórias X: 50, Vitórias O: 44, Draws: 6
Genoma 31237, Vitórias X: 39, Vitórias O: 54, Draws: 7
Genoma 31334, Vitórias X: 38, Vitórias O: 55, Draws: 7
Genoma 31431, Vitórias X: 39, Vitórias O: 54, Draws: 7
Genoma 31528, Vitórias X: 44, Vitórias O: 49, Draws: 7
Genoma 31625, Vitórias X: 44, Vitórias O: 47, Draws: 9
Genoma 31722, Vitórias X: 36, Vitórias O: 59, Draws: 5
Genoma 31819, Vitórias X: 47, Vitórias O: 49, Draws: 4
Genoma 31916, Vitórias X: 40, Vitórias O: 54, Draws: 6
Genoma 32013, Vitórias X: 38, Vitórias O: 54, Draws: 8
Genoma 32110, Vitórias X: 42, Vitórias O: 50, Draws: 8
Genoma 32207, Vitórias X: 34, Vitórias O: 64, Draws: 2
Genoma 32304, Vitórias X: 41, Vitórias O: 51, Draws: 8
Genoma 32401, Vitórias X: 37, Vitórias O: 53, Draws: 10
Genoma 32498, Vitórias X: 41, Vitórias O: 56, Draws: 3
Genoma 32595, Vitórias X: 36, Vitórias O: 56, Draws: 8
Genoma 32692, Vitórias X: 34, Vitórias O: 58, Draws: 8
Genoma 32789, Vitórias X: 43, Vitórias O: 54, Draws: 3
Genoma 32886, Vitórias X: 44, Vitórias O: 49, Draws: 7
Genoma 32983, Vitórias X: 40, Vitórias O: 52, Draws: 8
Genoma 33080, Vitórias X: 42, Vitórias O: 52, Draws: 6
Genoma 33177, Vitórias X: 36, Vitórias O: 56, Draws: 8
Genoma 33274, Vitórias X: 37, Vitórias O: 60, Draws: 3
